,年份,始发城市,始发城市所属省份,始发城市代码,终点城市,终点城市所属省份,终点城市代码,年度迁徙意愿指数,年度实际迁徙指数
1713,2018.0,上海,上海市,310000.0,七台河,黑龙江省,230900.0,0.18,0.021388889
1714,2018.0,上海,上海市,310000.0,万宁,海南省,469006.0,0.31,0.018333333
1715,2018.0,上海,上海市,310000.0,三亚,海南省,460200.0,19.0575,0.315555556
1716,2018.0,上海,上海市,310000.0,三明,福建省,350400.0,9.850833333,0.854166667
1717,2018.0,上海,上海市,310000.0,三门峡,河南省,411200.0,4.730277778,0.228055556
1718,2018.0,上海,上海市,310000.0,上饶,江西省,361100.0,70.86305556,8.678333333
1719,2018.0,上海,上海市,310000.0,东方,海南省,469007.0,0.095833333,0.013055556
1720,2018.0,上海,上海市,310000.0,东莞,广东省,441900.0,27.0175,1.753611111
1721,2018.0,上海,上海市,310000.0,东营,山东省,370500.0,6.485555556,0.806111111
1722,2018.0,上海,上海市,310000.0,中卫,宁夏回族自治区,640500.0,0.445833333,0.028888889
1723,2018.0,上海,上海市,310000.0,中山,广东省,442000.0,8.7525,0.394444444
1724,2018.0,上海,上海市,310000.0,临夏回族,甘肃省,622900.0,0.309722222,0.025555556
1725,2018.0,上海,上海市,310000.0,临汾,山西省,141000.0,5.450277778,0.255
1726,2018.0,上海,上海市,310000.0,临沂,山东省,371300.0,65.51777778,12.34611111
1727,2018.0,上海,上海市,310000.0,临沧,云南省,530900.0,0.969722222,0.046111111
1728,2018.0,上海,上海市,310000.0,临高县,海南省,469024.0,0.025833333,0.005555556
1729,2018.0,上海,上海市,310000.0,丹东,辽宁省,210600.0,3.655,0.1175
1730,2018.0,上海,上海市,310000.0,丽水,浙江省,331100.0,54.15805556,6.121944444
1731,2018.0,上海,上海市,310000.0,丽江,云南省,530700.0,8.833888889,0.126388889
1732,2018.0,上海,上海市,310000.0,乌兰察布,内蒙古自治区,150900.0,1.193888889,0.060277778
1733,2018.0,上海,上海市,310000.0,乌海,内蒙古自治区,150300.0,0.209722222,0.020555556
1734,2018.0,上海,上海市,310000.0,乌鲁木齐,新疆维吾尔自治区,650100.0,21.23944444,0.613888889
1735,2018.0,上海,上海市,310000.0,乐东黎族自治县,海南省,469027.0,0.043055556,0.005833333
1736,2018.0,上海,上海市,310000.0,乐山,四川省,511100.0,4.232777778,0.106388889
1737,2018.0,上海,上海市,310000.0,九江,江西省,360400.0,43.55333333,4.234166667
1738,2018.0,上海,上海市,310000.0,云浮,广东省,445300.0,0.782777778,0.057777778
1739,2018.0,上海,上海市,310000.0,五家渠,新疆维吾尔自治区,659004.0,0.003333333,0.001388889
1740,2018.0,上海,上海市,310000.0,五指山,海南省,469001.0,0.1025,0.008611111
