,年份,始发城市,年度实际迁徙指数
0,2018.0,七台河,58.571388903
1,2018.0,万宁,97.35194446899999
2,2018.0,三亚,213.482222224
3,2018.0,三明,364.13166667999997
4,2018.0,三门峡,510.993611122
5,2018.0,上海,5605.778333669
6,2018.0,上饶,918.359444386
7,2018.0,东方,41.958055576
8,2018.0,东莞,10446.564999386
9,2018.0,东营,882.288888847
10,2018.0,中卫,373.144444433
11,2018.0,中山,3389.413055598
12,2018.0,临夏回族,108.645555561
13,2018.0,临汾,547.795277829
14,2018.0,临沂,2142.213888969
15,2018.0,临沧,49.301666675
16,2018.0,临高县,52.064166684
17,2018.0,丹东,196.11583333
18,2018.0,丽水,440.11555554
19,2018.0,丽江,155.672777779
20,2018.0,乌兰察布,403.111111067
21,2018.0,乌海,118.622777783
22,2018.0,乌鲁木齐,669.135277731
23,2018.0,乐东黎族自治县,59.485833343
24,2018.0,乐山,511.404722199
25,2018.0,九江,789.241111086
26,2018.0,云浮,933.629166758
27,2018.0,五家渠,82.328611134
28,2018.0,五指山,28.593055588
29,2018.0,亳州,847.808888926
30,2018.0,仙桃,368.681111094
31,2018.0,伊春,66.26944445
32,2018.0,伊犁哈萨克,175.32333333100001
33,2018.0,佛山,8830.65805505
34,2018.0,佳木斯,169.07944443899999
35,2018.0,保亭黎族苗族自治县,46.761111133
36,2018.0,保定,2804.9830555470003
37,2018.0,保山,119.302777784
38,2018.0,信阳,736.829999978
39,2018.0,儋州,85.957222224
40,2018.0,克孜勒苏柯尔克孜,31.878888905999997
41,2018.0,克拉玛依,136.555000008
42,2018.0,六安,965.874444488
43,2018.0,六盘水,380.222500008
44,2018.0,兰州,579.4508333489999
45,2018.0,兴安盟,168.14666668200002
46,2018.0,内江,611.986666734
47,2018.0,凉山彝族,220.079444463
48,2018.0,包头,286.351944432
49,2018.0,北京,5812.289721794
50,2018.0,北屯,19.131944468
51,2018.0,北海,266.648888884
52,2018.0,十堰,270.05222224
53,2018.0,南京,3598.032499967
54,2018.0,南充,585.7694444560001
55,2018.0,南宁,1121.982222196
56,2018.0,南平,348.973055547
57,2018.0,南昌,1210.202777775
58,2018.0,南通,1868.052500007
59,2018.0,南阳,974.0797222580001
60,2018.0,博尔塔拉蒙古,72.957500011
61,2018.0,厦门,1162.986111038
62,2018.0,双河,17.939444476
63,2018.0,双鸭山,87.749444451
64,2018.0,可克达拉,12.025555585
65,2018.0,台州,959.0124999220001
66,2018.0,合肥,2555.016388814
67,2018.0,吉安,626.692777764
68,2018.0,吉林,344.564722196
69,2018.0,吐鲁番,139.941944437
70,2018.0,吕梁,596.582500035
71,2018.0,吴忠,510.059166651
