城市,北上广迁入指数,均价(元/㎡),原始房价
七台河,0.001135011,0.013897352,2788.1
三亚,0.025026513,0.588475037,32738.5
三明,0.032460755,0.123429303,8497.555556
三门峡,0.008712632,0.042119813,4259.222222
上海,0.106368437,0.944754282,51309.88938
上饶,0.143161779,0.092555127,6888.210179
东营,0.081108034,0.079831686,6224.988889
中卫,0.001756384,0.037330131,4009.555556
临汾,0.046135355,0.047786645,4554.611111
临沂,0.220660926,0.085999654,6546.5
临沧,0.001602793,0.069072243,5664.142857
丹东,0.015502272,0.072533488,5844.563492
丽水,0.066218323,0.27000665,16138.03704
丽江,0.004719868,0.102321236,7397.277778
乌兰察布,0.136869957,0.040234325,4160.939394
乌海,0.004090085,0.036478028,3965.138889
乌鲁木齐,0.02152536,0.106539538,7617.160714
乐山,0.004558667,0.047882921,4559.62963
九江,0.106560075,0.079707821,6218.532357
五家渠,0.000137571,0.03797174,4043
亳州,0.128445483,0.0798789,6227.45
仙桃,0.023679639,0.069510741,5687
伊春,0.00201911,0.026148887,3426.722727
佳木斯,0.005444168,0.033449039,3807.25
保山,0.002508318,0.090789975,6796.2
信阳,0.17485498,0.065622518,5484.322727
儋州,0.002693749,0.130440102,8863
克拉玛依,0.0007239,0.036931524,3988.777778
六安,0.169717993,0.087229764,6610.620635
六盘水,0.006833495,0.044137896,4364.416667
兰州,0.019121972,0.130237246,8852.425926
兴安盟,0.014964804,0.048820785,4608.516667
内江,0.008841992,0.07410112,5926.277778
包头,0.054888237,0.077920967,6125.390873
北京,0.112194881,1,54189.62418
北屯,9.19E-05,0.021377314,3178
北海,0.054478728,0.093676041,6946.638889
十堰,0.019263949,0.049848904,4662.108333
南充,0.044485504,0.075652156,6007.126984
南宁,0.215127446,0.119817761,8309.300505
南平,0.052978663,0.112891576,7948.266667
南昌,0.136196119,0.178288856,11357.16114
南阳,0.103205105,0.058323748,5103.867521
厦门,0.097866668,0.65702818,36311.89683
双鸭山,0.001948623,0.006807791,2418.55
吉安,0.143253893,0.099275921,7238.537879
吉林,0.014897721,0.06472852,5437.722222
吐鲁番,0.000722698,0.024638646,3348
吕梁,0.025513919,0.041597974,4232.020833
吴忠,0.00222016,0.03449906,3861.983333
周口,0.18850535,0.049376404,4637.478788
呼伦贝尔,0.013897878,0.040471295,4173.291667
呼和浩特,0.145868143,0.131460182,8916.172619
和田,0.001244447,0.031787199,3720.625
咸宁,0.043288616,0.037779516,4032.980159
咸阳,0.019451782,0.060379642,5211.032893
哈密,0.00201911,0.031770412,3719.75
哈尔滨,0.069581103,0.094103247,6968.907407
商丘,0.130914353,0.055773907,4970.95463
商洛,0.004251485,0.047296409,4529.057143
喀什,0.002290648,0.031897775,3726.388889
嘉峪关,0.000837802,0.034696819,3872.291667
四平,0.014565908,0.046919727,4509.422222
固原,0.00125476,0.049200315,4628.3
塔城,0.000694103,0.024042334,3316.916667
大兴安岭,0.002559983,0.012936218,2738
大同,0.213973412,0.05776355,5074.666667
大庆,0.01755182,0.04563651,4442.533333
大连,0.049702791,0.180806292,11488.38485
天水,0.006447015,0.103200304,7443.1
天门,0.034916008,0.060570854,5221
太原,0.124990188,0.16088976,10450.21693
威海,0.06143818,0.095578059,7045.783333
娄底,0.081584826,0.055048331,4933.133333
孝感,0.042879107,0.050010349,4670.52381
宁德,0.062251191,0.131603722,8923.654762
安康,0.010012447,0.049025311,4619.177778
安顺,0.010545911,0.038096438,4049.5
定西,0.003342355,0.056882138,5028.722222
宜宾,0.013385241,0.070735659,5750.85
宜昌,0.032631367,0.080693102,6269.891026
宜春,0.114131889,0.084553654,6471.125926
宝鸡,0.007276446,0.056815297,5025.238095
宿州,0.108198913,0.07210851,5822.411111
宿迁,0.191929206,0.108982134,7744.483333
岳阳,0.110655367,0.05880437,5128.92037
崇左,0.028517853,0.04957788,4647.980952
巴中,0.026648129,0.043264051,4318.866667
巴彦淖尔,0.014925956,0.042362206,4271.857143
常德,0.100564221,0.057944505,5084.099074
平凉,0.003610889,0.075421335,5995.095238
平顶山,0.033897141,0.05272028,4811.781481
广元,0.01019167,0.069053515,5663.166667
广安,0.01891071,0.067691886,5592.190476
广州,0.065047267,0.538443428,30130.55556
庆阳,0.009569697,0.081291307,6301.073016
延安,0.006504887,0.065221496,5463.419048
开封,0.053336308,0.071606307,5796.233333
张家界,0.02337546,0.096977874,7118.75
张掖,0.001477837,0.018148595,3009.7
徐州,0.184280898,0.132304061,8960.160606
德州,0.236801191,0.091553656,6836.007576
德阳,0.004893484,0.066343016,5521.879365
忻州,0.132538772,0.045824821,4452.349206
怀化,0.069213646,0.048055225,4568.611111
成都,0.098107567,0.194819486,12218.83571
抚州,0.121146209,0.09950779,7250.624242
抚顺,0.009563289,0.047016821,4514.483333
拉萨,0.022107284,0.184865983,11700
揭阳,0.719844511,0.086423307,6568.583333
攀枝花,0.001043698,0.07051131,5739.155556
新乡,0.055436318,0.069621584,5692.777778
新余,0.019525074,0.069575755,5690.388889
日照,0.048512911,0.095249048,7028.633333
昆明,0.057702135,0.145499783,9648
昭通,0.008864821,0.056828049,5025.902778
晋中,0.059139522,0.066913897,5551.637037
晋城,0.011693938,0.073428603,5891.222222
普洱,0.001534508,0.074235143,5933.263889
景德镇,0.035410823,0.078854458,6174.05
曲靖,0.010366488,0.046832789,4504.890476
朔州,0.045119292,0.026708952,3455.916667
朝阳,0.082337162,0.040316793,4165.238095
本溪,0.007290464,0.049225574,4629.616667
来宾,0.044273641,0.033696837,3820.166667
松原,0.013702835,0.037556399,4021.35
枣庄,0.053352728,0.079784638,6222.536508
柳州,0.076320281,0.101815699,7370.92619
株洲,0.105975749,0.06520946,5462.791667
桂林,0.175900479,0.084182377,6451.772727
梅州,0.713337221,0.089697543,6739.255952
梧州,0.26124518,0.049732177,4656.02381
榆林,0.022181376,0.076133096,6032.196429
武威,0.001368301,0.061442141,5266.416667
武汉,0.197799304,0.259725329,15602.11355
毕节,0.019350256,0.044007602,4357.625
永州,0.353138822,0.058525303,5114.373737
汉中,0.009831022,0.041587982,4231.5
汕头,0.534933429,0.127552407,8712.47619
沈阳,0.146358353,0.130719698,8877.574176
河池,0.056526874,0.050531866,4697.708333
泉州,0.102954593,0.150966197,9932.941919
泰安,0.077449285,0.114076954,8010.055556
泸州,0.016152881,0.065663374,5486.452381
洛阳,0.048115217,0.08080176,6275.554945
济南,0.244327148,0.192301981,12087.60839
济宁,0.100939688,0.081199314,6296.277778
