年份,始发城市,始发城市所属省份,始发城市代码,终点城市,终点城市所属省份,终点城市代码,年度迁徙意愿指数,年度实际迁徙指数
2018.0,上海,上海市,310000.0,杭州,浙江省,330100.0,1080.371389,305.24
2018.0,上海,上海市,310000.0,南通,江苏省,320600.0,1028.905278,399.4125
2018.0,上海,上海市,310000.0,嘉兴,浙江省,330400.0,1304.774722,622.5436111
2018.0,上海,上海市,310000.0,苏州,江苏省,320500.0,4499.041944,2493.521667
2019.0,上海,上海市,310000.0,无锡,江苏省,320200.0,1477.685556,623.9988889
2019.0,上海,上海市,310000.0,南通,江苏省,320600.0,2038.135833,876.47
2019.0,上海,上海市,310000.0,嘉兴,浙江省,330400.0,2516.770833,1302.128333
2019.0,上海,上海市,310000.0,苏州,江苏省,320500.0,8594.911111,5106.376111
2020.0,上海,上海市,310000.0,无锡,江苏省,320200.0,1390.496667,654.2411111
2020.0,上海,上海市,310000.0,南通,江苏省,320600.0,2155.588889,949.1936111
2020.0,上海,上海市,310000.0,嘉兴,浙江省,330400.0,2376.234167,1359.463333
2020.0,上海,上海市,310000.0,苏州,江苏省,320500.0,8309.808889,5239.161944
2021.0,上海,上海市,310000.0,无锡,江苏省,320200.0,1679.171667,739.8355556
2021.0,上海,上海市,310000.0,南通,江苏省,320600.0,2420.378889,1028.628611
2021.0,上海,上海市,310000.0,嘉兴,浙江省,330400.0,3080.412222,1668.417778
2021.0,上海,上海市,310000.0,苏州,江苏省,320500.0,11068.025,6436.345278
2022.0,上海,上海市,310000.0,杭州,浙江省,330100.0,1793.2625,504.9916667
2022.0,上海,上海市,310000.0,南通,江苏省,320600.0,1701.051667,641.3119444
2022.0,上海,上海市,310000.0,嘉兴,浙江省,330400.0,2220.954167,1058.444722
2022.0,上海,上海市,310000.0,苏州,江苏省,320500.0,7811.181389,3916.867222
2023.0,上海,上海市,310000.0,杭州,浙江省,330100.0,4731.598889,1095.288611
2023.0,上海,上海市,310000.0,南通,江苏省,320600.0,3481.762222,1305.910556
2023.0,上海,上海市,310000.0,嘉兴,浙江省,330400.0,4940.455278,2189.838889
2023.0,上海,上海市,310000.0,苏州,江苏省,320500.0,17156.83083,8416.981111
