年份,始发城市,始发城市所属省份,始发城市代码,终点城市,终点城市所属省份,终点城市代码,年度迁徙意愿指数,年度实际迁徙指数
2018.0,上海,上海市,310000.0,阜阳,安徽省,341200.0,107.0941667,12.67527778
2018.0,上海,上海市,310000.0,连云港,江苏省,320700.0,81.69972222,15.19638889
2018.0,上海,上海市,310000.0,宿迁,江苏省,321300.0,97.87888889,17.59694444
2018.0,上海,上海市,310000.0,淮安,江苏省,320800.0,108.9319444,21.76277778
2019.0,上海,上海市,310000.0,连云港,江苏省,320700.0,157.46,34.08333333
2019.0,上海,上海市,310000.0,阜阳,安徽省,341200.0,251.1783333,36.97916667
2019.0,上海,上海市,310000.0,宿迁,江苏省,321300.0,190.3241667,41.08388889
2019.0,上海,上海市,310000.0,淮安,江苏省,320800.0,214.2191667,49.63083333
2020.0,上海,上海市,310000.0,六安,安徽省,341500.0,230.7902778,43.53361111
2020.0,上海,上海市,310000.0,阜阳,安徽省,341200.0,280.0133333,46.36555556
2020.0,上海,上海市,310000.0,宿迁,江苏省,321300.0,219.1766667,51.29055556
2020.0,上海,上海市,310000.0,淮安,江苏省,320800.0,242.2169444,60.19972222
2021.0,上海,上海市,310000.0,连云港,江苏省,320700.0,182.7011111,43.6975
2021.0,上海,上海市,310000.0,阜阳,安徽省,341200.0,281.0308333,44.84472222
2021.0,上海,上海市,310000.0,宿迁,江苏省,321300.0,212.7352778,47.67111111
2021.0,上海,上海市,310000.0,淮安,江苏省,320800.0,231.2386111,52.12944444
2022.0,上海,上海市,310000.0,宿迁,江苏省,321300.0,186.9319444,34.06916667
2022.0,上海,上海市,310000.0,六安,安徽省,341500.0,236.6394444,34.95555556
2022.0,上海,上海市,310000.0,阜阳,安徽省,341200.0,292.5841667,38.12666667
2022.0,上海,上海市,310000.0,淮安,江苏省,320800.0,199.1438889,38.70166667
2023.0,上海,上海市,310000.0,临沂,山东省,371300.0,268.8372222,52.48888889
2023.0,上海,上海市,310000.0,宿迁,江苏省,321300.0,315.37,54.2725
2023.0,上海,上海市,310000.0,阜阳,安徽省,341200.0,448.3466667,54.64305556
2023.0,上海,上海市,310000.0,淮安,江苏省,320800.0,384.3986111,66.56083333
