年份,始发城市,始发城市所属省份,始发城市代码,终点城市,终点城市所属省份,终点城市代码,年度迁徙意愿指数,年度实际迁徙指数
2018.0,北京,北京市,110000.0,德州,山东省,371400.0,108.4827778,29.70583333
2018.0,北京,北京市,110000.0,大同,山西省,140200.0,137.1030556,35.41277778
2018.0,北京,北京市,110000.0,赤峰,内蒙古自治区,150400.0,229.0519444,42.4775
2018.0,北京,北京市,110000.0,葫芦岛,辽宁省,211400.0,246.7752778,48.87694444
2019.0,北京,北京市,110000.0,德州,山东省,371400.0,182.98,60.76083333
2019.0,北京,北京市,110000.0,大同,山西省,140200.0,262.2275,71.03888889
2019.0,北京,北京市,110000.0,葫芦岛,辽宁省,211400.0,330.8986111,72.84305556
2019.0,北京,北京市,110000.0,赤峰,内蒙古自治区,150400.0,351.8388889,80.88555556
2020.0,北京,北京市,110000.0,济南,山东省,370100.0,208.1805556,40.195
2020.0,北京,北京市,110000.0,大同,山西省,140200.0,167.0758333,41.99222222
2020.0,北京,北京市,110000.0,德州,山东省,371400.0,156.2130556,50.27166667
2020.0,北京,北京市,110000.0,赤峰,内蒙古自治区,150400.0,245.9869444,64.46305556
2021.0,北京,北京市,110000.0,济南,山东省,370100.0,275.3088889,45.54305556
2021.0,北京,北京市,110000.0,葫芦岛,辽宁省,211400.0,228.5502778,46.99555556
2021.0,北京,北京市,110000.0,德州,山东省,371400.0,181.9569444,55.63166667
2021.0,北京,北京市,110000.0,赤峰,内蒙古自治区,150400.0,286.1180556,58.54916667
2022.0,北京,北京市,110000.0,葫芦岛,辽宁省,211400.0,157.6544444,26.04861111
2022.0,北京,北京市,110000.0,济南,山东省,370100.0,212.9991667,30.69666667
2022.0,北京,北京市,110000.0,赤峰,内蒙古自治区,150400.0,206.0663889,35.00833333
2022.0,北京,北京市,110000.0,德州,山东省,371400.0,151.9719444,38.85638889
2023.0,北京,北京市,110000.0,德州,山东省,371400.0,335.2316667,72.02055556
2023.0,北京,北京市,110000.0,大同,山西省,140200.0,556.9044444,77.95722222
2023.0,北京,北京市,110000.0,赤峰,内蒙古自治区,150400.0,582.3191667,80.45722222
2023.0,北京,北京市,110000.0,葫芦岛,辽宁省,211400.0,592.6291667,92.26305556
