年份,始发城市,始发城市所属省份,始发城市代码,终点城市,终点城市所属省份,终点城市代码,年度迁徙意愿指数,年度实际迁徙指数
2018.0,广州,广东省,440100.0,清远,广东省,441800.0,1496.951944,695.9538889
2018.0,广州,广东省,440100.0,深圳,广东省,440300.0,2681.458333,1182.4025
2018.0,广州,广东省,440100.0,东莞,广东省,441900.0,3996.685,2277.145
2018.0,广州,广东省,440100.0,佛山,广东省,440600.0,7503.509444,4624.370278
2019.0,广州,广东省,440100.0,清远,广东省,441800.0,3131.220833,1557.141944
2019.0,广州,广东省,440100.0,深圳,广东省,440300.0,5038.135556,2337.798611
2019.0,广州,广东省,440100.0,东莞,广东省,441900.0,8293.946944,4760.285278
2019.0,广州,广东省,440100.0,佛山,广东省,440600.0,15215.56361,9820.499444
2020.0,广州,广东省,440100.0,清远,广东省,441800.0,3489.107778,1855.115556
2020.0,广州,广东省,440100.0,深圳,广东省,440300.0,4739.148889,2449.3175
2020.0,广州,广东省,440100.0,东莞,广东省,441900.0,8489.64,5251.748889
2020.0,广州,广东省,440100.0,佛山,广东省,440600.0,15520.60361,10731.46694
2021.0,广州,广东省,440100.0,清远,广东省,441800.0,4343.249167,2127.0325
2021.0,广州,广东省,440100.0,深圳,广东省,440300.0,6211.913611,2852.4875
2021.0,广州,广东省,440100.0,东莞,广东省,441900.0,10400.89972,5965.983889
2021.0,广州,广东省,440100.0,佛山,广东省,440600.0,20610.41417,13185.16583
2022.0,广州,广东省,440100.0,清远,广东省,441800.0,4453.072222,1930.593333
2022.0,广州,广东省,440100.0,深圳,广东省,440300.0,5841.946667,2315.8875
2022.0,广州,广东省,440100.0,东莞,广东省,441900.0,11069.23889,5440.086667
2022.0,广州,广东省,440100.0,佛山,广东省,440600.0,22637.94361,13501.63833
2023.0,广州,广东省,440100.0,清远,广东省,441800.0,7058.866111,2769.952778
2023.0,广州,广东省,440100.0,深圳,广东省,440300.0,11696.06667,4075.273333
2023.0,广州,广东省,440100.0,东莞,广东省,441900.0,17339.92472,8066.558889
2023.0,广州,广东省,440100.0,佛山,广东省,440600.0,33721.71,19167.81028
