年份,始发城市,始发城市所属省份,始发城市代码,终点城市,终点城市所属省份,终点城市代码,年度迁徙意愿指数,年度实际迁徙指数
2018.0,北京,北京市,110000.0,张家口,河北省,130700.0,1153.07,388.4072222
2018.0,北京,北京市,110000.0,保定,河北省,130600.0,1734.428611,723.2844444
2018.0,北京,北京市,110000.0,天津,天津市,120000.0,1779.815278,765.2702778
2018.0,北京,北京市,110000.0,廊坊,河北省,131000.0,4022.491389,2237.850833
2019.0,北京,北京市,110000.0,张家口,河北省,130700.0,1968.821944,758.1094444
2019.0,北京,北京市,110000.0,保定,河北省,130600.0,3192.399722,1488.0925
2019.0,北京,北京市,110000.0,天津,天津市,120000.0,3267.281667,1531.968056
2019.0,北京,北京市,110000.0,廊坊,河北省,131000.0,8234.251389,4836.308056
2020.0,北京,北京市,110000.0,张家口,河北省,130700.0,1483.294444,556.5913889
2020.0,北京,北京市,110000.0,天津,天津市,120000.0,2357.61,1170.993056
2020.0,北京,北京市,110000.0,保定,河北省,130600.0,2561.554722,1187.485556
2020.0,北京,北京市,110000.0,廊坊,河北省,131000.0,7085.306667,4319.7925
2021.0,北京,北京市,110000.0,张家口,河北省,130700.0,1629.118889,591.4266667
2021.0,北京,北京市,110000.0,保定,河北省,130600.0,3169.1375,1320.555833
2021.0,北京,北京市,110000.0,天津,天津市,120000.0,3068.387222,1338.697222
2021.0,北京,北京市,110000.0,廊坊,河北省,131000.0,9281.761389,4899.579167
2022.0,北京,北京市,110000.0,张家口,河北省,130700.0,1054.761944,296.6661111
2022.0,北京,北京市,110000.0,天津,天津市,120000.0,1812.6275,595.0905556
2022.0,北京,北京市,110000.0,保定,河北省,130600.0,2170.211389,728.1280556
2022.0,北京,北京市,110000.0,廊坊,河北省,131000.0,6151.711389,2639.379444
2023.0,北京,北京市,110000.0,张家口,河北省,130700.0,3114.417778,906.6877778
2023.0,北京,北京市,110000.0,保定,河北省,130600.0,5305.583889,1951.876389
2023.0,北京,北京市,110000.0,天津,天津市,120000.0,6002.509444,2008.176667
2023.0,北京,北京市,110000.0,廊坊,河北省,131000.0,14360.54722,6996.244444
